ref,PTT,END_DATE,MAX_DBAR,LAT,LON,NUM,N_TEMP,N_COND,N_SAL,TEMP_DBAR,TEMP_VALS,COND_DBAR,COND_VALS,SAL_DBAR,SAL_VALS,N_FLUORO,FLUORO_DBAR,FLUORO_VALS,N_OXY,OXY_DBAR,OXY_VALS,QC_PROFILE,QC_TEMP,QC_SAL,SAL_CORRECTED_VALS
rs27-056-14,140140,8/14/2015,41,66.29308686,-37.56414888,0,9,,9,"2,10,12,14,16,18,20,22,24","-0.946,-1.610,-1.610,-1.591,-1.548,-1.516,-1.486,-1.441,-1.409",,,"2,10,12,14,16,18,20,22,24","23.016,31.129,31.395,31.651,31.879,31.993,32.060,32.136,32.174",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","23.016,31.129,31.395,31.651,31.879,31.993,32.060,32.136,32.174"
rs27-056-14,140140,8/14/2015,77,66.29562812,-37.57613699,0,17,,17,"2,3,4,6,10,14,20,26,30,36,40,50,60,62,65,68,77","-0.455,-1.144,-1.333,-1.506,-1.578,-1.584,-1.549,-1.403,-1.320,-1.266,-1.194,-0.923,-0.574,-0.428,-0.409,-0.217,0.006",,,"2,3,4,6,10,14,20,26,30,36,40,50,60,62,65,68,77","22.250,22.250,25.974,29.523,30.899,31.412,31.969,32.220,32.307,32.351,32.438,32.646,32.864,32.908,32.952,32.995,33.170",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","22.250,22.250,25.974,29.523,30.899,31.412,31.969,32.220,32.307,32.351,32.438,32.646,32.864,32.908,32.952,32.995,33.170"
rs27-056-14,140140,8/14/2015,42,66.2999327,-37.59644337,0,9,,9,"2,10,12,14,16,18,20,22,24","-0.020,-1.657,-1.665,-1.665,-1.655,-1.652,-1.662,-1.683,-1.690",,,"2,10,12,14,16,18,20,22,24","20.672,30.721,31.052,31.371,31.560,31.749,31.974,32.068,32.116",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","20.672,30.721,31.052,31.371,31.560,31.749,31.974,32.068,32.116"
rs27-056-14,140140,8/15/2015,21,66.31621749,-37.67326511,0,7,,7,"2,10,12,14,16,18,20","-0.129,-1.625,-1.636,-1.642,-1.642,-1.633,-1.610",,,"2,10,12,14,16,18,20","23.492,30.581,31.014,31.277,31.481,31.744,31.914",,,,,,,0,"0,0,0,0,0,0,0","0,0,0,0,0,0,0","23.492,30.581,31.014,31.277,31.481,31.744,31.914"
rs27-056-14,140140,8/16/2015,41,66.3213,-37.69724132,0,9,,9,"2,10,12,14,16,18,20,22,24","-0.303,-1.616,-1.655,-1.655,-1.640,-1.613,-1.613,-1.650,-1.666",,,"2,10,12,14,16,18,20,22,24","24.202,29.871,30.681,31.069,31.392,31.590,31.813,31.978,32.069",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","24.202,29.871,30.681,31.069,31.392,31.590,31.813,31.978,32.069"
rs27-056-14,140140,8/16/2015,75,66.3233745,-37.70702753,0,9,,9,"2,10,14,20,26,30,36,40,50","-1.193,-1.548,-1.563,-1.508,-1.460,-1.397,-1.371,-1.122,-0.865",,,"2,10,14,20,26,30,36,40,50","22.766,30.138,30.752,31.448,31.854,32.020,32.301,32.343,32.634",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","22.766,30.138,30.752,31.448,31.854,32.020,32.301,32.343,32.634"
rs27-056-14,140140,8/17/2015,79,66.31296385,-37.39552283,0,9,,9,"2,10,14,20,26,30,36,40,50","0.262,-0.442,-0.273,0.126,0.231,0.374,0.409,0.053,0.487",,,"2,10,14,20,26,30,36,40,50","23.984,30.038,30.777,31.374,32.188,32.075,32.454,32.302,32.747",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","23.984,30.038,30.777,31.374,32.188,32.075,32.454,32.302,32.747"
rs27-056-14,140140,8/17/2015,90,66.3051435,-37.30905424,0,17,,17,"2,4,10,14,20,22,23,26,30,36,40,48,50,57,62,72,90","0.639,0.090,-0.203,-0.257,0.080,0.102,0.336,0.581,0.818,0.886,0.902,1.002,0.393,0.463,0.924,1.560,1.748",,,"2,4,10,14,20,22,23,26,30,36,40,48,50,57,62,72,90","23.990,26.556,29.845,30.453,31.244,31.321,31.398,31.774,32.006,32.266,32.498,32.835,32.835,32.874,33.028,33.482,33.636",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","23.990,26.556,29.845,30.453,31.244,31.321,31.398,31.774,32.006,32.266,32.498,32.835,32.835,32.874,33.028,33.482,33.636"
rs27-056-14,140140,8/17/2015,71,66.24565335,-37.40775464,0,9,,9,"2,10,14,20,26,30,36,40,50","0.531,-0.239,-0.249,-0.167,0.417,0.660,0.847,0.867,0.455",,,"2,10,14,20,26,30,36,40,50","24.928,29.800,30.517,31.052,31.597,31.968,32.305,32.512,32.849",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","24.928,29.800,30.517,31.052,31.597,31.968,32.305,32.512,32.849"
rs27-056-14,140140,8/17/2015,85,66.2548326,-37.44044056,0,9,,9,"2,10,14,20,26,30,36,40,50","0.461,-0.199,-0.268,-0.181,0.293,0.636,0.875,0.951,0.506",,,"2,10,14,20,26,30,36,40,50","21.042,29.738,30.427,31.016,31.454,31.943,32.294,32.432,32.883",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","21.042,29.738,30.427,31.016,31.454,31.943,32.294,32.432,32.883"
rs27-056-14,140140,8/18/2015,13,66.26487245,-37.4261109,0,3,,3,"2,10,12","0.123,-0.373,-0.373",,,"2,10,12","23.982,29.926,30.333",,,,,,,0,"0,0,0","0,0,0","23.982,29.926,30.333"
rs27-056-14,140140,8/19/2015,60,66.33643173,-37.09136627,0,9,,9,"2,10,14,20,26,30,36,40,50","-0.780,-0.552,-0.184,-0.022,0.193,0.398,0.665,0.844,1.047",,,"2,10,14,20,26,30,36,40,50","22.720,29.618,30.295,30.842,31.287,31.560,31.802,32.035,32.470",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","22.720,29.618,30.295,30.842,31.287,31.560,31.802,32.035,32.470"
